#,Title,Artist,BPM,Camelot Key,Energy
1,La Vida Es Un Carnaval,Celia Cruz,104,5A,65
2,Valió la Pena - Salsa Version,Marc Anthony,98,8A,70
3,Pa'lla Voy,Marc Anthony,96,8A,93
4,Quimbara - Remastered 2025,Celia Cruz,121,9A,65
5,La Negra Tiene Tumbao,Celia Cruz,111,10A,84
6,Vivir Lo Nuestro,LA INDIA,91,4A,62
7,Que Alguien Me Diga,Gilberto Santa Rosa,94,6A,72
8,Amores Como el Nuestro,Jerry Rivera,179,8B,59
9,Cali Pachanguero,Grupo Niche,101,5A,83
10,Una Aventura,Grupo Niche,93,8B,91
11,Brujeria,El Gran Combo De Puerto Rico,93,8B,62
12,Aguanile - DJ Jose Marquez Remix,Willie Colón,123,6A,91
13,El Cantante,Héctor Lavoe,96,8B,68
14,Idilio,Willie Colón,94,4A,83
15,Llorarás - Remastered 2026,Oscar D'León,96,8A,86
16,En Barranquilla Me Quedo,Joe Arroyo,104,6A,79
17,Deseándote - Remastered 2026,Frankie Ruiz,96,5B,87
18,Tú Con Él - Remastered 2026,Frankie Ruiz,95,9A,85
19,Tú Me Vuelves Loco - Remastered 2026,Frankie Ruiz,92,9B,83
20,Lluvia - Remastered 2026,Eddie Santiago,165,6B,83
21,Que Locura Enamorarme De Ti - Remastered 2026,Eddie Santiago,94,3B,86
22,Fabricando Fantasías - Salsa Version,Tito Nieves,91,11B,86
23,I Like It Like That,Tito Nieves,128,4A,92
24,Esa Mujer - Remastered 2026,Tony Vega,87,3A,83
25,Yo No Sé Mañana,Luis Enrique,95,10B,82
26,Mi Media Mitad,Rey Ruiz,77,8B,78
27,Cuenta Conmigo,Jerry Rivera,177,3B,55
28,De Vuelta Pa' La Vuelta,Daddy Yankee,94,7B,94
29,Mala,Marc Anthony,98,4A,91
30,Parecen Viernes,Marc Anthony,96,8B,86
31,BAILE INOLVIDABLE,Bad Bunny,119,8A,0
32,Volver - La Salsa,Piso 21,92,1B,75
